id_act_tra,nom_con,num_ide,no_act_tra,fec_pub
402,Envios Seguros 92,72934130-7,ACT-1884-19,2023-08-16
403,Servicios Viales 44,21663002-8,ACT-6864-72,2023-09-18
404,Viajes y Cargas 48,44743876-1,ACT-4506-12,2023-02-18
405,Rutas Directas 47,19511819-4,ACT-4980-60,2023-06-23
406,Cargas Express 77,19835256-8,ACT-8886-21,2023-05-08
407,Cargas Nacionales 5,92457585-8,ACT-6331-97,2023-10-10
408,Transportes del Norte 23,87073974-3,ACT-6241-94,2023-06-07
409,Logistica Nacional 71,72076219-6,ACT-3594-59,2023-01-29
410,Envios Seguros 2,45964508-2,ACT-5850-23,2023-10-16
411,Movilizacion Segura 69,97757481-1,ACT-2772-25,2023-07-25
412,Transportes del Norte 59,12623375-2,ACT-3626-13,2023-09-23
413,Viajes y Cargas 5,52854461-2,ACT-9018-48,2023-08-27
414,Viajes y Cargas 59,13668697-5,ACT-1624-31,2023-07-18
415,Logistica Nacional 64,26062790-3,ACT-3602-38,2023-10-14
416,Logistica Express 18,76293891-3,ACT-5397-42,2023-02-27
417,Express Nacional 19,71377394-4,ACT-3202-30,2023-12-14
418,Servicios de Transporte 84,51548598-8,ACT-6586-37,2023-03-20
419,Cargas Nacionales 14,92287584-8,ACT-3277-39,2023-01-28
420,Cargas Nacionales 1,16325903-5,ACT-5446-60,2023-02-06
421,Transporte Rapido 12,26162771-6,ACT-3696-22,2023-11-11
422,Fletes Seguros 59,34325030-2,ACT-6101-73,2023-02-26
423,Fletes Seguros 20,48176831-7,ACT-3217-71,2023-10-02
424,Rapido y Seguro 41,35552429-4,ACT-9679-47,2023-03-11
425,Servicios de Transporte 5,50072449-9,ACT-3001-99,2023-06-08
426,Servicios de Transporte 71,35829570-9,ACT-8933-13,2023-12-14
427,Transporte Rapido 69,30668213-2,ACT-3418-49,2023-04-25
428,Cargas Express 82,23365007-5,ACT-8279-24,2023-08-05
429,Transporte Economico 15,65687036-8,ACT-5261-91,2023-07-27
430,Envia Facil 94,38916125-6,ACT-8287-29,2023-09-16
431,Envia Facil 74,85042716-1,ACT-3486-43,2023-03-13
432,Conexion Vial 52,22317211-4,ACT-1773-81,2023-07-15
433,Transportes del Norte 35,41227021-8,ACT-1459-13,2023-12-09
434,Cargas Express 76,90405645-3,ACT-5533-54,2023-07-17
435,Envia Facil 49,55122326-9,ACT-4556-32,2023-04-27
436,Rutas Directas 8,39446174-1,ACT-3284-44,2023-08-26
437,Viajes y Cargas 95,60332245-7,ACT-9711-36,2023-03-24
438,Cargas Express 93,59992243-7,ACT-7968-83,2023-11-10
439,Fletes Seguros 26,18009123-4,ACT-7038-94,2023-05-05
440,Cargas Express 94,89966241-8,ACT-2538-58,2023-11-23
441,Viajes y Cargas 94,14343680-2,ACT-9579-56,2023-05-11
442,Express Nacional 66,20034172-2,ACT-1662-29,2023-06-20
443,Rapido y Seguro 2,30203447-7,ACT-7310-12,2023-01-24
444,Envia Facil 5,12725912-9,ACT-2561-96,2023-10-21
445,Conexion Vial 73,81076370-5,ACT-8723-70,2023-05-04
446,Transporte Urbano 95,23010066-2,ACT-8973-50,2023-02-25
447,Logistica Express 28,35790982-2,ACT-6879-42,2023-08-11
448,Viajes y Cargas 3,77278779-1,ACT-3826-61,2023-08-25
449,Envios Seguros 81,83940996-2,ACT-5085-48,2023-07-06
450,Rutas Directas 15,28389294-8,ACT-4291-90,2023-09-11
451,Conexion Vial 99,71640811-4,ACT-5524-58,2023-02-05
452,Envia Facil 70,75540673-7,ACT-2926-48,2023-07-08
453,Rutas y Cargas 86,93340560-1,ACT-4998-62,2023-09-27
454,Fletes Seguros 11,92597166-9,ACT-8325-61,2023-01-16
455,Rapido y Seguro 48,22961337-4,ACT-5529-29,2023-12-12
456,Envios Seguros 97,34868161-7,ACT-2387-40,2023-09-19
457,Logistica Nacional 13,42994171-7,ACT-3028-55,2023-01-21
458,Transporte Economico 94,53518906-1,ACT-8179-68,2023-07-25
459,Servicios Viales 83,10499644-9,ACT-9084-78,2023-08-14
460,Rutas Directas 50,57515782-6,ACT-2869-18,2023-08-23
461,Logistica Express 14,17289633-5,ACT-9708-69,2023-05-17
462,Rutas y Cargas 54,66233477-3,ACT-8929-76,2023-03-11
463,Rutas y Cargas 67,16037306-3,ACT-5450-63,2023-04-06
464,Envios Seguros 68,73527241-7,ACT-5355-58,2023-04-22
465,Servicios de Transporte 29,99216630-5,ACT-1285-57,2023-04-03
466,Servicios de Transporte 23,74028530-2,ACT-8412-60,2023-03-02
467,Rutas y Cargas 7,67913312-2,ACT-2672-63,2023-04-29
468,Cargas Nacionales 3,15606700-2,ACT-4959-87,2023-07-24
469,Cargas Express 20,70738824-5,ACT-6525-13,2023-08-22
470,Envios Seguros 39,83240062-7,ACT-6560-21,2023-11-29
471,Rapido y Seguro 71,97917030-2,ACT-2119-82,2023-10-20
472,Rapido y Seguro 14,56738388-2,ACT-3512-91,2023-08-05
473,Rapido y Seguro 83,60350839-8,ACT-5967-42,2023-01-26
474,Rapido y Seguro 83,73171771-3,ACT-5339-21,2023-05-09
475,Cargas Express 7,88856201-6,ACT-6954-31,2023-10-05
476,Transportes del Norte 56,95181564-5,ACT-6901-47,2023-01-28
477,Movilizacion Segura 54,34064872-6,ACT-3061-87,2023-04-20
478,Conexion Vial 62,26509166-3,ACT-4962-75,2023-01-27
479,Envia Facil 86,15702402-4,ACT-8293-35,2023-03-02
480,Transporte Rapido 68,17019978-6,ACT-1496-58,2023-02-13
481,Cargas Nacionales 6,94030131-1,ACT-4080-24,2023-05-12
482,Envios Seguros 35,27966854-2,ACT-1137-85,2023-12-09
483,Servicios Viales 51,76936402-7,ACT-8129-61,2023-09-19
484,Envia Facil 1,40084808-2,ACT-5136-89,2023-04-13
485,Viajes y Cargas 35,78522878-5,ACT-4637-74,2023-06-26
486,Movilizacion Segura 42,39648085-4,ACT-1624-29,2023-11-04
487,Rutas Directas 22,76499627-6,ACT-4626-24,2023-11-20
488,Rapido y Seguro 50,67817731-7,ACT-9136-71,2023-02-03
489,Logistica Nacional 30,79210085-9,ACT-9393-51,2023-10-31
490,Fletes Seguros 69,69559737-4,ACT-3011-85,2023-05-18
491,Viajes y Cargas 44,84998404-1,ACT-1836-46,2023-05-05
492,Cargas Express 27,43865178-4,ACT-3614-95,2023-09-04
493,Viajes y Cargas 62,53642416-3,ACT-6674-31,2023-08-10
494,Transportes del Norte 92,67659237-5,ACT-4222-94,2023-01-07
495,Servicios de Transporte 33,45742605-3,ACT-9164-69,2023-09-04
496,Viajes y Cargas 96,10842497-1,ACT-4253-37,2023-01-11
497,Servicios de Transporte 81,74599402-6,ACT-5615-41,2023-03-07
498,Rutas Directas 68,28944360-6,ACT-2149-59,2023-08-13
499,Transporte Urbano 57,90016822-3,ACT-3152-94,2023-03-12
500,Transportes del Norte 54,19226329-1,ACT-5356-73,2023-03-16
501,Logistica Nacional 21,83882396-1,ACT-8560-84,2023-06-30
502,Transporte Economico 49,38043536-4,ACT-8528-38,2023-07-27
503,Envios Seguros 34,92865755-5,ACT-1725-19,2023-05-08
504,Transporte Urbano 44,98530419-5,ACT-1173-72,2023-07-27
505,Servicios Viales 87,22393810-4,ACT-7501-13,2023-03-22
506,Transporte Rapido 83,89073482-5,ACT-1126-32,2023-07-23
507,Servicios Viales 9,51843203-1,ACT-6620-40,2023-11-26
508,Fletes Seguros 96,70194066-6,ACT-5804-70,2023-10-31
509,Movilizacion Segura 27,57598002-1,ACT-4525-85,2023-06-11
510,Rutas Directas 89,39913848-8,ACT-7385-49,2023-03-08
511,Viajes y Cargas 90,27445432-9,ACT-1901-13,2023-08-04
512,Envios Seguros 65,48526154-3,ACT-3843-71,2023-07-25
513,Rutas Directas 69,26112985-5,ACT-1932-17,2023-10-18
514,Fletes Seguros 97,47862426-6,ACT-5137-99,2023-04-06
515,Cargas Express 32,65498627-2,ACT-1052-28,2023-02-23
516,Rutas Directas 21,74294794-8,ACT-6474-25,2023-12-07
517,Rutas Directas 45,53754265-2,ACT-9672-35,2023-02-23
518,Servicios Viales 61,38529433-9,ACT-1208-24,2023-08-07
519,Transporte Urbano 7,73588860-8,ACT-3140-45,2023-05-03
520,Transporte Economico 19,24168883-6,ACT-2984-37,2023-11-26
521,Servicios Viales 55,62131604-5,ACT-9383-74,2023-09-25
522,Logistica Nacional 41,60465165-5,ACT-8958-53,2023-10-26
523,Servicios Viales 31,21459320-9,ACT-8621-26,2023-01-30
524,Cargas Express 44,36680486-1,ACT-6280-28,2023-12-05
525,Servicios Viales 27,35164957-2,ACT-3284-70,2023-01-26
526,Transporte Economico 94,57681937-8,ACT-4702-50,2023-09-24
527,Servicios de Transporte 65,72766766-2,ACT-7730-43,2023-04-19
528,Transporte Rapido 12,62960601-9,ACT-9828-77,2023-02-17
529,Fletes Seguros 98,38874044-3,ACT-1001-70,2023-05-29
530,Rutas y Cargas 81,31726763-6,ACT-2551-66,2023-10-22
531,Cargas Nacionales 65,30883547-6,ACT-6701-76,2023-08-29
532,Transportes del Norte 72,95449118-5,ACT-5867-94,2023-05-02
533,Conexion Vial 80,36097692-4,ACT-6678-23,2023-05-18
534,Cargas Express 5,49111609-6,ACT-3662-97,2023-02-09
535,Logistica Nacional 37,49580129-2,ACT-3722-61,2023-12-03
536,Viajes y Cargas 8,82981814-2,ACT-2663-31,2023-07-08
537,Conexion Vial 13,76213645-8,ACT-2675-73,2023-04-17
538,Express Nacional 35,41975026-8,ACT-3952-42,2023-01-11
539,Logistica Express 51,62728601-5,ACT-5893-94,2023-07-15
540,Express Nacional 32,14949003-1,ACT-3102-57,2023-10-17
541,Envios Seguros 74,41741295-7,ACT-9018-96,2023-02-02
542,Cargas Express 5,82228624-7,ACT-3256-78,2023-04-22
543,Conexion Vial 88,59621281-6,ACT-9579-64,2023-10-13
544,Express Nacional 16,98188411-1,ACT-9621-86,2023-02-04
545,Transportes del Norte 5,49922090-2,ACT-3708-40,2023-10-05
546,Rutas y Cargas 13,45840650-1,ACT-3588-93,2023-05-28
547,Transportes del Norte 36,41594436-4,ACT-1158-42,2023-02-04
548,Rutas Directas 30,34478273-3,ACT-3907-92,2023-12-01
549,Transporte Rapido 80,44260830-9,ACT-6027-60,2023-08-14
550,Logistica Express 71,45805053-7,ACT-7804-51,2023-06-15
551,Servicios Viales 44,54858736-2,ACT-9004-19,2023-11-21
552,Rutas Directas 56,33846843-5,ACT-3723-11,2023-06-22
553,Transporte Economico 59,65162751-6,ACT-4792-44,2023-07-07
554,Transporte Rapido 89,50780049-4,ACT-8314-55,2023-07-09
555,Cargas Nacionales 51,80100579-1,ACT-2793-61,2023-07-10
556,Envia Facil 29,98073468-1,ACT-2676-82,2023-01-28
557,Express Nacional 52,43349246-3,ACT-9929-26,2023-04-25
558,Envia Facil 72,44572215-9,ACT-8021-81,2023-03-16
559,Logistica Express 88,33939155-4,ACT-5972-84,2023-05-14
560,Express Nacional 90,54077621-2,ACT-6308-97,2023-09-07
561,Cargas Nacionales 14,87007014-3,ACT-2893-10,2023-06-15
562,Servicios Viales 64,66167009-1,ACT-2290-48,2023-04-19
563,Transporte Economico 40,21832940-6,ACT-1096-61,2023-03-18
564,Envios Seguros 25,70632513-9,ACT-9052-31,2023-01-31
565,Transporte Urbano 7,79120919-2,ACT-7767-33,2023-05-01
566,Logistica Express 3,64041992-3,ACT-6090-85,2023-11-21
567,Rapido y Seguro 10,61770874-3,ACT-1166-68,2023-11-03
568,Servicios Viales 46,95035753-3,ACT-2330-78,2023-07-16
569,Fletes Seguros 98,51405914-2,ACT-2970-38,2023-09-30
570,Viajes y Cargas 81,44531711-7,ACT-7539-23,2023-11-14
571,Transporte Rapido 45,40324989-2,ACT-9145-51,2023-09-01
572,Logistica Nacional 44,51968470-7,ACT-4421-72,2023-06-20
573,Envios Seguros 36,65109105-2,ACT-3343-42,2023-09-24
574,Rutas Directas 83,44422608-6,ACT-1203-37,2023-11-24
575,Rapido y Seguro 64,78699207-9,ACT-8849-18,2023-01-05
576,Movilizacion Segura 27,82381503-1,ACT-6739-66,2023-09-03
577,Logistica Express 37,85434323-7,ACT-5417-86,2023-10-01
578,Cargas Nacionales 71,38602543-8,ACT-1310-88,2023-12-23
579,Transporte Rapido 78,42351339-7,ACT-4449-20,2023-07-26
580,Rapido y Seguro 76,13348901-8,ACT-8138-75,2023-11-10
581,Conexion Vial 92,71509127-5,ACT-3627-44,2023-12-07
582,Cargas Nacionales 65,14315703-4,ACT-6674-51,2023-01-13
583,Servicios de Transporte 47,46649551-1,ACT-6201-74,2023-05-03
584,Movilizacion Segura 32,46260919-7,ACT-8101-31,2023-03-29
585,Transportes del Norte 50,14733000-4,ACT-6726-40,2023-07-09
586,Conexion Vial 57,94555047-8,ACT-1315-17,2023-04-11
587,Transporte Urbano 40,23634819-7,ACT-8097-62,2023-04-23
588,Cargas Nacionales 47,51930034-7,ACT-5007-10,2023-06-06
589,Rapido y Seguro 37,48903651-4,ACT-8371-87,2023-06-21
590,Transporte Rapido 90,77340745-9,ACT-1087-89,2023-02-25
591,Transporte Economico 11,50114660-4,ACT-6275-46,2023-01-04
592,Logistica Express 97,40900288-8,ACT-8774-46,2023-12-15
593,Express Nacional 48,87937121-4,ACT-3955-74,2023-03-12
594,Viajes y Cargas 93,39518565-2,ACT-4563-10,2023-01-21
595,Servicios Viales 96,41218417-2,ACT-7559-26,2023-02-04
596,Express Nacional 24,45194091-3,ACT-1999-46,2023-09-19
597,Transporte Rapido 44,22489981-3,ACT-6507-67,2023-02-12
598,Rutas y Cargas 71,59192261-8,ACT-8270-15,2023-11-25
599,Movilizacion Segura 8,80669713-6,ACT-9202-88,2023-07-02
600,Transporte Economico 94,95522397-3,ACT-1330-76,2023-06-07
601,Cargas Express 76,65494629-7,ACT-5681-20,2023-03-30
602,Logistica Nacional 85,40726175-1,ACT-8622-62,2023-09-27
603,Rutas y Cargas 26,45630664-8,ACT-3924-71,2023-06-16
604,Servicios de Transporte 28,89622820-5,ACT-4763-62,2023-11-15
605,Envia Facil 35,33109175-2,ACT-5458-82,2023-04-01
606,Transportes del Norte 28,21914306-6,ACT-6425-71,2023-04-20
607,Envia Facil 69,34855870-5,ACT-1160-25,2023-12-13
608,Transporte Economico 44,89692647-7,ACT-5776-24,2023-06-04
609,Express Nacional 21,48034857-3,ACT-6086-19,2023-10-05
610,Transporte Rapido 76,84579531-6,ACT-8074-68,2023-11-24
611,Express Nacional 37,23813211-6,ACT-4994-21,2023-11-20
612,Transporte Economico 1,92356810-6,ACT-8680-75,2023-12-07
613,Conexion Vial 38,61475854-5,ACT-8227-92,2023-01-05
614,Fletes Seguros 99,74103991-5,ACT-6742-93,2023-03-02
615,Rutas Directas 10,10582933-4,ACT-2325-63,2023-09-05
616,Express Nacional 58,90442108-7,ACT-8513-42,2023-06-16
617,Logistica Nacional 95,97424988-6,ACT-9101-51,2023-11-12
618,Fletes Seguros 78,78114202-2,ACT-9846-71,2023-03-12
619,Transporte Urbano 75,15394254-6,ACT-5297-43,2023-12-22
620,Conexion Vial 37,99275022-4,ACT-5846-93,2023-05-16
621,Cargas Express 29,99700416-9,ACT-4757-47,2023-11-12
622,Viajes y Cargas 62,98646896-3,ACT-9656-44,2023-10-18
623,Envios Seguros 33,16055644-5,ACT-7322-77,2023-04-22
624,Rutas Directas 3,93898677-9,ACT-1570-81,2023-12-27
625,Transporte Economico 7,85461255-7,ACT-5591-57,2023-06-13
626,Transporte Rapido 27,57424138-1,ACT-7584-41,2023-04-29
627,Rutas Directas 57,13559240-7,ACT-6821-27,2023-11-28
628,Express Nacional 5,85647257-1,ACT-5051-94,2023-05-14
629,Transporte Urbano 65,99261596-2,ACT-1801-65,2023-12-09
630,Cargas Nacionales 7,69894758-9,ACT-1049-48,2023-07-13
631,Logistica Nacional 16,51668591-3,ACT-3522-94,2023-06-20
632,Envia Facil 56,76094956-1,ACT-5979-84,2023-05-19
633,Rutas Directas 14,34210269-2,ACT-7398-91,2023-07-21
634,Rapido y Seguro 51,49340369-8,ACT-6166-24,2023-03-15
635,Transportes del Norte 79,26244774-7,ACT-6055-19,2023-08-10
636,Envios Seguros 8,37312481-9,ACT-2494-93,2023-07-08
637,Envia Facil 93,83327106-5,ACT-5063-40,2023-05-07
638,Transportes del Norte 33,43467481-6,ACT-6979-75,2023-05-05
639,Fletes Seguros 23,15829432-7,ACT-7081-24,2023-03-18
640,Transporte Urbano 36,23432694-5,ACT-2118-74,2023-08-26
641,Fletes Seguros 78,26071767-9,ACT-2643-10,2023-06-24
642,Conexion Vial 75,72998836-9,ACT-4261-17,2023-12-18
643,Servicios Viales 80,10609257-3,ACT-3987-81,2023-02-01
644,Transporte Urbano 94,68585267-5,ACT-6983-30,2023-10-14
645,Rutas y Cargas 10,88037960-4,ACT-2514-27,2023-04-29
646,Servicios Viales 17,66196271-6,ACT-8898-27,2023-09-10
647,Transporte Rapido 56,73385165-3,ACT-6170-73,2023-09-01
648,Rutas y Cargas 37,49875388-6,ACT-9521-71,2023-12-13
649,Rutas Directas 60,12484926-5,ACT-2317-20,2023-09-22
650,Transporte Rapido 22,32644819-7,ACT-6646-60,2023-10-08
651,Fletes Seguros 38,82554159-3,ACT-7500-85,2023-07-21
652,Rutas y Cargas 42,24788058-8,ACT-4490-30,2023-06-27
653,Express Nacional 44,26290882-9,ACT-8514-54,2023-11-20
654,Logistica Nacional 23,17760358-1,ACT-1607-73,2023-02-09
655,Fletes Seguros 20,60158092-6,ACT-1006-42,2023-12-27
656,Cargas Express 28,77942113-7,ACT-7548-88,2023-09-27
657,Transportes del Norte 97,63693042-2,ACT-3052-75,2023-08-23
658,Logistica Express 79,57105114-3,ACT-9327-67,2023-06-02
659,Transporte Rapido 36,45128145-8,ACT-9638-48,2023-01-12
660,Cargas Express 57,28426117-9,ACT-2155-58,2023-07-01
661,Conexion Vial 6,70494339-3,ACT-5156-41,2023-02-19
662,Envia Facil 32,56736814-6,ACT-5161-25,2023-07-16
663,Conexion Vial 77,60863967-9,ACT-5839-61,2023-02-06
664,Transportes del Norte 57,88215059-2,ACT-6084-81,2023-09-22
665,Fletes Seguros 89,43278119-6,ACT-6526-39,2023-12-13
666,Transporte Urbano 45,18212724-9,ACT-6865-41,2023-06-29
667,Logistica Nacional 74,44728901-5,ACT-8404-86,2023-01-20
668,Servicios de Transporte 77,64176827-9,ACT-3594-85,2023-06-07
669,Transporte Urbano 58,33722173-3,ACT-8883-93,2023-05-07
670,Express Nacional 99,90071009-5,ACT-6575-47,2023-12-05
671,Express Nacional 95,14622550-4,ACT-4663-88,2023-11-04
672,Viajes y Cargas 26,26977145-3,ACT-3044-46,2023-02-03
673,Rutas y Cargas 18,48177001-6,ACT-3814-13,2023-06-15
674,Transporte Rapido 35,78326403-4,ACT-4444-19,2023-05-02
675,Rapido y Seguro 8,51287795-8,ACT-7836-27,2023-04-03
676,Transporte Rapido 83,16039964-2,ACT-7769-88,2023-12-01
677,Rutas Directas 11,81287097-8,ACT-3908-44,2023-05-11
678,Servicios Viales 72,66068918-2,ACT-3414-54,2023-08-07
679,Envia Facil 26,22424667-6,ACT-6198-44,2023-12-17
680,Transporte Rapido 28,16583161-8,ACT-7672-56,2023-04-02
681,Servicios Viales 60,50729315-6,ACT-4138-17,2023-12-15
682,Viajes y Cargas 63,95181339-8,ACT-7297-23,2024-01-01
683,Viajes y Cargas 66,67325599-3,ACT-6660-90,2023-05-24
684,Transporte Economico 31,27695855-3,ACT-9556-40,2023-02-18
685,Transportes del Norte 14,40415727-9,ACT-9196-51,2023-05-31
686,Rutas y Cargas 79,97685626-4,ACT-7519-60,2023-05-10
687,Servicios Viales 43,11008635-7,ACT-5628-84,2023-09-03
688,Viajes y Cargas 11,98206863-7,ACT-8418-36,2023-08-19
689,Movilizacion Segura 90,57518319-8,ACT-8951-79,2023-06-02
690,Envios Seguros 74,54555107-7,ACT-8082-79,2023-09-17
691,Transporte Urbano 64,52733649-7,ACT-9129-23,2023-09-11
692,Logistica Nacional 8,56314189-6,ACT-3503-89,2023-10-12
693,Logistica Express 30,19385378-1,ACT-8555-70,2023-02-18
694,Envios Seguros 69,57841310-9,ACT-5159-41,2023-09-26
695,Transporte Rapido 82,27446892-6,ACT-3674-45,2023-06-03
696,Fletes Seguros 28,95839497-5,ACT-5111-96,2023-11-10
697,Transporte Urbano 62,26768154-4,ACT-3270-91,2023-05-05
698,Transportes del Norte 12,27615622-3,ACT-2739-55,2023-07-11
699,Transporte Urbano 91,36192645-6,ACT-9740-14,2023-11-15
700,Conexion Vial 56,93171486-1,ACT-3873-25,2023-02-24
701,Envios Seguros 95,16570056-5,ACT-8288-45,2023-04-10
702,Servicios de Transporte 69,46922420-5,ACT-5774-53,2023-12-04
703,Envios Seguros 48,80791117-7,ACT-7140-60,2023-12-17
704,Movilizacion Segura 48,85486562-2,ACT-2691-38,2023-04-30
705,Transportes del Norte 92,43823005-5,ACT-7309-38,2023-04-02
706,Envios Seguros 8,78233363-6,ACT-7722-41,2023-05-25
707,Cargas Nacionales 32,52182411-9,ACT-7942-15,2023-06-24
708,Movilizacion Segura 71,28450471-5,ACT-2990-66,2023-09-14
709,Transporte Economico 14,43983285-3,ACT-2288-11,2023-04-26
710,Transportes del Norte 49,52857330-5,ACT-9702-61,2023-02-17
711,Viajes y Cargas 76,45876327-7,ACT-3473-76,2023-07-05
712,Transporte Rapido 72,61758795-8,ACT-2919-74,2023-10-02
713,Transporte Rapido 65,71518401-4,ACT-2840-19,2023-08-29
714,Conexion Vial 86,85959947-3,ACT-2295-49,2023-09-09
715,Rapido y Seguro 91,72270091-5,ACT-4823-45,2023-10-31
716,Fletes Seguros 99,61182054-5,ACT-2662-61,2023-02-04
717,Servicios de Transporte 76,54577350-1,ACT-6641-24,2023-03-11
718,Viajes y Cargas 91,25708517-1,ACT-9330-81,2023-05-08
719,Logistica Nacional 32,52990582-5,ACT-2803-21,2023-10-23
720,Envios Seguros 97,89836896-3,ACT-8356-45,2023-04-25
721,Fletes Seguros 40,41889599-9,ACT-8734-86,2023-02-15
722,Cargas Nacionales 58,27813419-4,ACT-2840-76,2023-08-05
723,Servicios Viales 1,57526967-1,ACT-5716-74,2023-08-23
724,Rapido y Seguro 40,75752842-2,ACT-5327-13,2023-10-16
725,Logistica Express 94,89312393-4,ACT-9332-14,2023-05-01
726,Transporte Rapido 80,40857771-7,ACT-4251-59,2023-12-27
727,Rutas y Cargas 32,72241697-1,ACT-7398-36,2023-10-20
728,Envia Facil 51,63572251-8,ACT-5017-81,2023-02-05
729,Fletes Seguros 51,93742616-9,ACT-6195-25,2023-11-28
730,Movilizacion Segura 7,26364366-6,ACT-5730-91,2023-07-14
731,Transporte Urbano 39,73103893-3,ACT-3761-88,2023-02-13
732,Envios Seguros 13,97158862-5,ACT-7874-70,2023-01-22
733,Envios Seguros 34,50499447-1,ACT-1786-67,2023-09-14
734,Envia Facil 27,89173693-1,ACT-2596-66,2023-11-25
735,Servicios Viales 38,98193168-6,ACT-5855-50,2023-01-06
736,Transportes del Norte 17,35745292-6,ACT-6770-38,2023-02-02
737,Servicios de Transporte 31,62246426-5,ACT-1217-53,2023-10-11
738,Express Nacional 8,43789762-1,ACT-4747-97,2023-03-22
739,Servicios de Transporte 54,87588058-4,ACT-6338-18,2023-09-30
740,Express Nacional 96,48594545-7,ACT-2597-89,2023-01-04
741,Movilizacion Segura 97,71268154-4,ACT-9581-80,2023-07-29
742,Rapido y Seguro 93,55899196-3,ACT-4878-67,2023-08-08
743,Servicios de Transporte 21,87310072-2,ACT-4864-66,2023-05-08
744,Logistica Express 40,66336707-9,ACT-4668-65,2023-09-02
745,Transportes del Norte 6,13557625-8,ACT-3037-77,2023-02-13
746,Cargas Nacionales 53,90716345-9,ACT-2385-43,2023-12-18
747,Logistica Express 9,51325803-7,ACT-4741-29,2023-11-09
748,Envios Seguros 32,87072562-2,ACT-4334-57,2023-10-26
749,Cargas Nacionales 60,38121950-9,ACT-5912-29,2023-09-15
750,Servicios Viales 94,22741835-2,ACT-5608-94,2023-01-29
751,Cargas Nacionales 81,77580056-9,ACT-8935-54,2023-01-01
752,Rapido y Seguro 75,71760887-6,ACT-3377-58,2023-06-01
753,Cargas Nacionales 64,12120278-8,ACT-1907-72,2023-02-01
754,Logistica Nacional 79,39512922-2,ACT-1979-60,2023-11-14
755,Logistica Express 31,92794712-5,ACT-6833-32,2023-07-30
756,Express Nacional 13,15498338-3,ACT-2352-70,2023-08-10
757,Logistica Nacional 67,75489886-6,ACT-1752-29,2023-06-12
758,Rapido y Seguro 17,79309004-4,ACT-9282-34,2023-06-14
759,Envia Facil 10,29157902-5,ACT-5342-46,2023-04-10
760,Transportes del Norte 19,16011057-2,ACT-2856-37,2023-11-27
761,Logistica Express 10,63377366-2,ACT-9147-53,2023-02-22
762,Transporte Urbano 91,34584829-1,ACT-2690-84,2023-02-21
763,Transporte Rapido 16,10803577-7,ACT-8443-37,2023-04-01
764,Rapido y Seguro 55,25800200-3,ACT-5519-12,2023-10-14
765,Viajes y Cargas 59,28748488-3,ACT-8154-22,2023-09-20
766,Rapido y Seguro 49,24584292-6,ACT-8958-24,2023-05-22
767,Servicios Viales 37,70467771-3,ACT-8644-89,2023-07-20
768,Viajes y Cargas 50,61264006-5,ACT-4045-98,2023-10-22
769,Express Nacional 62,46652741-8,ACT-5670-58,2023-03-07
770,Logistica Nacional 32,92185312-1,ACT-4602-60,2023-07-01
771,Viajes y Cargas 20,79333933-7,ACT-5603-45,2023-01-22
772,Viajes y Cargas 30,43879152-7,ACT-8741-41,2023-01-24
773,Fletes Seguros 57,40294217-9,ACT-8122-79,2023-07-10
774,Servicios Viales 98,69415461-5,ACT-7664-67,2023-05-26
775,Servicios de Transporte 69,46034241-7,ACT-8895-21,2023-04-10
776,Cargas Nacionales 11,38577142-3,ACT-8831-12,2023-09-22
777,Rutas y Cargas 44,14583172-5,ACT-1256-11,2023-04-20
778,Transporte Urbano 42,74813290-3,ACT-5293-74,2023-04-02
779,Logistica Nacional 25,78512214-7,ACT-5236-95,2023-09-09
780,Servicios Viales 17,96582768-8,ACT-2476-30,2023-02-21
781,Viajes y Cargas 77,77325660-7,ACT-7212-98,2023-04-05
782,Transporte Rapido 35,87756414-3,ACT-3272-84,2023-06-01
783,Fletes Seguros 33,93771125-4,ACT-8295-46,2023-03-25
784,Viajes y Cargas 8,54643959-9,ACT-6814-98,2023-12-11
785,Logistica Nacional 42,43499742-1,ACT-2461-53,2023-10-26
786,Logistica Nacional 53,41800389-4,ACT-4710-86,2023-11-30
787,Logistica Express 86,60156102-4,ACT-1753-23,2023-11-26
788,Servicios de Transporte 3,16768192-5,ACT-6671-73,2023-06-22
789,Transporte Economico 36,33329800-3,ACT-4810-61,2023-11-08
790,Viajes y Cargas 82,40146981-8,ACT-5750-63,2023-02-28
791,Cargas Nacionales 55,29954153-3,ACT-9314-91,2023-08-15
792,Transporte Economico 84,26410215-8,ACT-8383-43,2023-12-21
793,Conexion Vial 38,99918222-1,ACT-5572-42,2023-05-28
794,Servicios Viales 37,39802346-6,ACT-7787-57,2023-07-27
795,Envios Seguros 83,51775531-3,ACT-8759-67,2023-11-01
796,Transportes del Norte 71,44465446-1,ACT-4455-54,2023-08-11
797,Fletes Seguros 94,85039818-5,ACT-5998-60,2023-03-27
798,Logistica Nacional 96,22982441-7,ACT-9865-55,2023-01-21
799,Rutas y Cargas 21,77207607-4,ACT-2620-42,2023-01-11
800,Transporte Economico 55,57886251-6,ACT-8237-85,2023-03-13
801,Envios Seguros 74,52247814-7,ACT-5420-45,2023-12-25
802,Transporte Rapido 20,48559662-9,ACT-1679-48,2023-11-23
803,Servicios de Transporte 76,78496695-5,ACT-8474-24,2023-05-05
